,fdc_id,data_type,description,id,seq_num,amount,gram_weight,unit_name
46286,321358,foundation_food,"Hummus, commercial",118804,1,2.0,33.9,tablespoon
46288,322892,foundation_food,"Milk, whole, 3.25% milkfat, with added vitamin D",118953,3,1.0,15.0,tablespoon
46291,323793,foundation_food,"Egg, white, dried",119069,1,1.0,7.0,tablespoon
46317,324038,foundation_food,"Sauce, salsa, ready-to-serve",119097,1,2.0,35.7,tablespoon
46320,324860,foundation_food,"Peanut butter, smooth style, with salt",119207,1,2.0,32.0,tablespoon
46344,325036,foundation_food,"Cheese, parmesan, grated",119233,1,1.0,7.6,tablespoon
46346,329490,foundation_food,"Egg, whole, dried",119691,3,1.0,5.0,tablespoon
46348,329716,foundation_food,"Egg, yolk, dried",119700,3,1.0,4.0,tablespoon
46359,330458,foundation_food,"Oil, coconut, liquid oil",119748,1,1.0,11.6,tablespoon
46360,746777,foundation_food,"Sauce, salsa, ready-to-serve",187523,1,2.0,35.7,tablespoon
46395,321359,foundation_food,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",118805,1,1.0,227.0,cup
46396,321360,foundation_food,"Tomatoes, grape, raw",118809,2,1.0,152.0,cup
46421,321611,foundation_food,"Beans, snap, green, canned, regular pack, drained solids, drained",118859,1,1.0,129.0,cup
46424,321900,foundation_food,"Broccoli, raw, chopped",118864,1,1.0,76.0,cup
46449,322228,foundation_food,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",118891,1,1.0,233.0,cup
46474,322559,foundation_food,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",118920,1,1.0,229.0,cup
46500,322892,foundation_food,"Milk, whole, 3.25% milkfat, with added vitamin D",118951,1,1.0,229.0,cup
46525,323294,foundation_food,"Nuts, almonds, dry roasted, with salt added, whole",119012,1,1.0,135.0,cup
46549,323444,foundation_food,"Cheese, ricotta, whole milk",119036,1,0.2,64.6,cup
46550,323444,foundation_food,"Cheese, ricotta, whole milk",119037,3,0.5,129.0,cup
46551,323444,foundation_food,"Cheese, ricotta, whole milk",119038,3,1.0,258.0,cup
46561,323505,foundation_food,"Kale, raw, pieces of ~1""",119057,1,1.0,20.6,cup
46566,323793,foundation_food,"Egg, white, dried, sifted",119070,2,1.0,107.0,cup
46570,324860,foundation_food,"Peanut butter, smooth style, with salt",119208,2,1.0,258.0,cup
46589,325287,foundation_food,"Grapefruit juice, white, canned or bottled, unsweetened",119275,1,1.0,257.0,cup
46591,325430,foundation_food,"Peaches, yellow, raw, slices with skin",119282,1,1.0,154.0,cup
46603,325524,foundation_food,"Seeds, sunflower seed kernels, dry roasted, with salt added",119299,1,1.0,127.0,cup
46614,326196,foundation_food,"Kale, frozen, cooked, boiled, drained, without salt, cooked",119431,1,1.0,118.0,cup
46649,326698,foundation_food,"Mustard, prepared, yellow",119501,2,1.0,249.0,cup
46651,326905,foundation_food,"Figs, dried, uncooked",119504,1,1.0,149.0,cup
46654,327198,foundation_food,"Melons, cantaloupe, raw, cubes",119516,1,1.0,160.0,cup
46655,327198,foundation_food,"Melons, cantaloupe, raw, diced",119517,2,1.0,156.0,cup
46657,327357,foundation_food,"Nectarines, raw, slices",119530,1,1.0,143.0,cup
46659,327501,foundation_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program), sections no membranes",119538,1,1.0,165.0,cup
46703,328637,foundation_food,"Cheese, cheddar, shredded",119620,2,1.0,105.0,cup
46735,328841,foundation_food,"Cheese, cottage, lowfat, 2% milkfat",119652,1,1.0,220.0,cup
46768,329370,foundation_food,"Cheese, mozzarella, low moisture, part-skim",119685,1,1.0,86.2,cup
46770,329490,foundation_food,"Egg, whole, dried, sifted",119690,2,1.0,85.0,cup
46773,329716,foundation_food,"Egg, yolk, dried, sifted",119699,2,1.0,67.0,cup
46786,329830,foundation_food,"Cheese, dry white, queso seco, grated",119713,1,1.0,97.3,cup
